step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,6.675000,12.625000,252,133,0.000000
1,6.725000,12.625000,252,134,0.008464
2,6.725000,12.575000,251,134,0.000000
3,6.725000,12.525000,250,134,0.019623
4,6.775000,12.525000,250,135,0.002304
5,6.725000,12.525000,250,134,0.013821
6,6.725000,12.575000,251,134,0.000911
7,6.725000,12.525000,250,134,0.000000
8,6.775000,12.525000,250,135,0.000000
9,6.775000,12.575000,251,135,0.004043
10,6.775000,12.525000,250,135,0.000000
11,6.775000,12.475000,249,135,0.000000
12,6.775000,12.525000,250,135,0.003602
13,6.775000,12.475000,249,135,0.001753
14,6.725000,12.475000,249,134,0.000000
15,6.725000,12.525000,250,134,0.002128
16,6.725000,12.475000,249,134,0.007744
17,6.775000,12.475000,249,135,0.000000
18,6.825000,12.475000,249,136,0.005843
19,6.825000,12.525000,250,136,0.001919
20,6.775000,12.525000,250,135,0.010430
21,6.775000,12.475000,249,135,0.000000
22,6.825000,12.475000,249,136,0.000000
23,6.825000,12.525000,250,136,0.000000
24,6.825000,12.475000,249,136,0.000000
25,6.825000,12.425000,248,136,0.000000
26,6.875000,12.425000,248,137,0.003046
27,6.875000,12.375000,247,137,0.003628
28,6.875000,12.425000,248,137,0.002265
29,6.875000,12.475000,249,137,0.000000
30,6.875000,12.425000,248,137,0.012060
31,6.925000,12.425000,248,138,0.000000
32,6.925000,12.475000,249,138,0.000514
33,6.875000,12.475000,249,137,0.016443
34,6.875000,12.525000,250,137,0.000000
35,6.875000,12.475000,249,137,0.000000
36,6.875000,12.525000,250,137,0.021027
37,6.925000,12.525000,250,138,0.000000
38,6.975000,12.525000,250,139,0.002056
39,7.025000,12.525000,250,140,0.008783
40,7.025000,12.575000,251,140,0.000000
41,6.975000,12.575000,251,139,0.000000
42,6.975000,12.525000,250,139,0.000000
43,6.925000,12.525000,250,138,0.000000
44,6.925000,12.575000,251,138,0.000000
45,6.925000,12.525000,250,138,0.003421
46,6.925000,12.575000,251,138,0.002418
47,6.975000,12.575000,251,139,0.000000
48,6.925000,12.575000,251,138,0.000000
49,6.925000,12.525000,250,138,0.004492
