step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,1.675000,1.875000,37,33,0.000000
1,1.725000,1.875000,37,34,0.000000
2,1.725000,1.925000,38,34,0.002243
3,1.675000,1.925000,38,33,0.012044
4,1.675000,1.975000,39,33,0.000000
5,1.675000,2.025000,40,33,0.011377
6,1.675000,2.075000,41,33,0.000000
7,1.675000,2.125000,42,33,0.000000
8,1.675000,2.175000,43,33,0.003786
9,1.675000,2.125000,42,33,0.000000
10,1.675000,2.075000,41,33,0.009873
11,1.675000,2.125000,42,33,0.000000
12,1.675000,2.175000,43,33,0.000000
13,1.675000,2.225000,44,33,0.000000
14,1.725000,2.225000,44,34,0.000000
15,1.725000,2.275000,45,34,0.000000
16,1.775000,2.275000,45,35,0.009001
17,1.725000,2.275000,45,34,0.000000
18,1.725000,2.325000,46,34,0.000000
19,1.725000,2.375000,47,34,0.002905
20,1.775000,2.375000,47,35,0.011595
21,1.775000,2.325000,46,35,0.000000
22,1.725000,2.325000,46,34,0.000000
23,1.725000,2.375000,47,34,0.000000
24,1.725000,2.425000,48,34,0.000000
25,1.725000,2.475000,49,34,0.000000
26,1.775000,2.475000,49,35,0.004426
27,1.825000,2.475000,49,36,0.003707
28,1.825000,2.425000,48,36,0.002889
29,1.775000,2.425000,48,35,0.000000
30,1.775000,2.475000,49,35,0.000000
31,1.725000,2.475000,49,34,0.000000
32,1.725000,2.525000,50,34,0.000000
33,1.725000,2.575000,51,34,0.000000
34,1.775000,2.575000,51,35,0.011898
35,1.775000,2.625000,52,35,0.000000
36,1.775000,2.675000,53,35,0.000000
37,1.775000,2.725000,54,35,0.000291
38,1.775000,2.675000,53,35,0.000000
39,1.775000,2.725000,54,35,0.000000
40,1.775000,2.775000,55,35,0.008380
41,1.775000,2.825000,56,35,0.000000
42,1.825000,2.825000,56,36,0.002228
43,1.775000,2.825000,56,35,0.000573
44,1.775000,2.775000,55,35,0.000769
45,1.725000,2.775000,55,34,0.002518
46,1.675000,2.775000,55,33,0.000000
47,1.675000,2.825000,56,33,0.000000
48,1.675000,2.875000,57,33,0.008309
49,1.725000,2.875000,57,34,0.000000
