step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,11.275000,4.875000,97,225,0.001786
1,11.325000,4.875000,97,226,0.000000
2,11.325000,4.925000,98,226,0.000000
3,11.375000,4.925000,98,227,0.003809
4,11.375000,4.975000,99,227,0.014764
5,11.425000,4.975000,99,228,0.005062
6,11.425000,4.925000,98,228,0.000000
7,11.425000,4.975000,99,228,0.011350
8,11.475000,4.975000,99,229,0.005490
9,11.475000,5.025000,100,229,0.008978
10,11.475000,5.075000,101,229,0.002591
11,11.525000,5.075000,101,230,0.013496
12,11.525000,5.125000,102,230,0.000000
13,11.525000,5.075000,101,230,0.009548
14,11.575000,5.075000,101,231,0.013710
15,11.625000,5.075000,101,232,0.000000
16,11.575000,5.075000,101,231,0.000000
17,11.525000,5.075000,101,230,0.005086
18,11.525000,5.125000,102,230,0.000000
19,11.475000,5.125000,102,229,0.000000
20,11.475000,5.175000,103,229,0.008473
21,11.425000,5.175000,103,228,0.024744
22,11.475000,5.175000,103,229,0.003267
23,11.475000,5.125000,102,229,0.000000
24,11.525000,5.125000,102,230,0.000642
25,11.575000,5.125000,102,231,0.008091
26,11.525000,5.125000,102,230,0.007076
27,11.575000,5.125000,102,231,0.000000
28,11.575000,5.075000,101,231,0.001048
29,11.625000,5.075000,101,232,0.000000
30,11.675000,5.075000,101,233,0.004149
31,11.725000,5.075000,101,234,0.005408
32,11.725000,5.025000,100,234,0.000000
33,11.775000,5.025000,100,235,0.005985
34,11.775000,4.975000,99,235,0.000000
35,11.775000,4.925000,98,235,0.001109
36,11.775000,4.875000,97,235,0.000000
37,11.775000,4.925000,98,235,0.000000
38,11.775000,4.975000,99,235,0.000000
39,11.825000,4.975000,99,236,0.000000
40,11.875000,4.975000,99,237,0.000000
41,11.875000,4.925000,98,237,0.001183
42,11.875000,4.975000,99,237,0.000000
43,11.825000,4.975000,99,236,0.000000
44,11.825000,4.925000,98,236,0.000000
45,11.875000,4.925000,98,237,0.012606
46,11.825000,4.925000,98,236,0.011654
47,11.875000,4.925000,98,237,0.024594
48,11.925000,4.925000,98,238,0.000000
49,11.875000,4.925000,98,237,0.008843
