step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,8.525000,9.675000,193,170,0.000000
1,8.525000,9.725000,194,170,0.000000
2,8.525000,9.775000,195,170,0.000000
3,8.525000,9.825000,196,170,0.002865
4,8.475000,9.825000,196,169,0.000000
5,8.525000,9.825000,196,170,0.000000
6,8.475000,9.825000,196,169,0.009726
7,8.475000,9.875000,197,169,0.000000
8,8.475000,9.825000,196,169,0.000000
9,8.525000,9.825000,196,170,0.011859
10,8.475000,9.825000,196,169,0.001936
11,8.475000,9.775000,195,169,0.029260
12,8.475000,9.825000,196,169,0.002314
13,8.425000,9.825000,196,168,0.010477
14,8.475000,9.825000,196,169,0.000000
15,8.475000,9.775000,195,169,0.002363
16,8.475000,9.825000,196,169,0.000000
17,8.475000,9.875000,197,169,0.000000
18,8.475000,9.825000,196,169,0.000000
19,8.525000,9.825000,196,170,0.001496
20,8.525000,9.875000,197,170,0.000000
21,8.525000,9.925000,198,170,0.000000
22,8.525000,9.875000,197,170,0.000000
23,8.575000,9.875000,197,171,0.005074
24,8.575000,9.825000,196,171,0.000000
25,8.575000,9.775000,195,171,0.000000
26,8.575000,9.725000,194,171,0.000000
27,8.525000,9.725000,194,170,0.002544
28,8.475000,9.725000,194,169,0.000000
29,8.425000,9.725000,194,168,0.000000
30,8.425000,9.775000,195,168,0.000000
31,8.375000,9.775000,195,167,0.010512
32,8.375000,9.825000,196,167,0.001955
33,8.375000,9.875000,197,167,0.000000
34,8.375000,9.925000,198,167,0.022572
35,8.325000,9.925000,198,166,0.000000
36,8.275000,9.925000,198,165,0.000724
37,8.275000,9.875000,197,165,0.017639
38,8.225000,9.875000,197,164,0.000000
39,8.175000,9.875000,197,163,0.006859
40,8.175000,9.825000,196,163,0.001139
41,8.175000,9.875000,197,163,0.006550
42,8.125000,9.875000,197,162,0.000000
43,8.075000,9.875000,197,161,0.006737
44,8.075000,9.825000,196,161,0.008475
45,8.025000,9.825000,196,160,0.000000
46,8.025000,9.775000,195,160,0.007415
47,8.025000,9.725000,194,160,0.001526
48,7.975000,9.725000,194,159,0.014032
49,8.025000,9.725000,194,160,0.005009
