step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,10.475000,7.675000,153,209,0.044620
1,10.475000,7.625000,152,209,0.047191
2,10.425000,7.625000,152,208,0.051508
3,10.425000,7.575000,151,208,0.064064
4,10.375000,7.575000,151,207,0.047310
5,10.375000,7.525000,150,207,0.072015
6,10.375000,7.475000,149,207,0.064660
7,10.325000,7.475000,149,206,0.047556
8,10.325000,7.425000,148,206,0.050860
9,10.325000,7.375000,147,206,0.083346
10,10.325000,7.325000,146,206,0.067032
11,10.375000,7.325000,146,207,0.074619
12,10.375000,7.275000,145,207,0.069196
13,10.425000,7.275000,145,208,0.076021
14,10.425000,7.225000,144,208,0.084906
15,10.425000,7.175000,143,208,0.107084
16,10.425000,7.125000,142,208,0.082804
17,10.425000,7.075000,141,208,0.092169
18,10.425000,7.025000,140,208,0.100706
19,10.425000,6.975000,139,208,0.100499
20,10.425000,6.925000,138,208,0.109605
21,10.425000,6.975000,139,208,0.112140
22,10.425000,6.925000,138,208,0.109332
23,10.425000,6.875000,137,208,0.121307
24,10.425000,6.825000,136,208,0.132725
25,10.375000,6.825000,136,207,0.124869
26,10.375000,6.775000,135,207,0.116390
27,10.375000,6.725000,134,207,0.143677
28,10.325000,6.725000,134,206,0.145404
29,10.325000,6.775000,135,206,0.133470
30,10.325000,6.725000,134,206,0.122599
31,10.275000,6.725000,134,205,0.132063
32,10.325000,6.725000,134,206,0.118821
33,10.325000,6.675000,133,206,0.136370
34,10.325000,6.625000,132,206,0.144322
35,10.325000,6.675000,133,206,0.135106
36,10.325000,6.625000,132,206,0.154260
37,10.325000,6.575000,131,206,0.154175
38,10.325000,6.525000,130,206,0.172549
39,10.325000,6.575000,131,206,0.147830
40,10.275000,6.575000,131,205,0.133750
41,10.325000,6.575000,131,206,0.153781
42,10.325000,6.525000,130,206,0.166188
43,10.325000,6.575000,131,206,0.150441
44,10.325000,6.525000,130,206,0.160303
45,10.325000,6.575000,131,206,0.149536
46,10.325000,6.525000,130,206,0.158967
47,10.325000,6.475000,129,206,0.178304
48,10.325000,6.425000,128,206,0.187549
49,10.325000,6.375000,127,206,0.196222
