step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,2.525000,12.425000,248,50,0.001811
1,2.575000,12.425000,248,51,0.013493
2,2.625000,12.425000,248,52,0.000000
3,2.575000,12.425000,248,51,0.008673
4,2.525000,12.425000,248,50,0.000000
5,2.475000,12.425000,248,49,0.000000
6,2.425000,12.425000,248,48,0.008073
7,2.425000,12.475000,249,48,0.006567
8,2.375000,12.475000,249,47,0.000000
9,2.425000,12.475000,249,48,0.006427
10,2.425000,12.425000,248,48,0.011204
11,2.375000,12.425000,248,47,0.000000
12,2.425000,12.425000,248,48,0.000664
13,2.425000,12.475000,249,48,0.012546
14,2.375000,12.475000,249,47,0.033118
15,2.375000,12.425000,248,47,0.000000
16,2.375000,12.475000,249,47,0.000000
17,2.375000,12.525000,250,47,0.000000
18,2.425000,12.525000,250,48,0.000000
19,2.375000,12.525000,250,47,0.000000
20,2.325000,12.525000,250,46,0.005300
21,2.325000,12.475000,249,46,0.003291
22,2.325000,12.425000,248,46,0.000000
23,2.325000,12.475000,249,46,0.000000
24,2.325000,12.525000,250,46,0.000000
25,2.325000,12.475000,249,46,0.008283
26,2.325000,12.425000,248,46,0.000000
27,2.275000,12.425000,248,45,0.000000
28,2.275000,12.375000,247,45,0.000000
29,2.275000,12.425000,248,45,0.002193
30,2.275000,12.475000,249,45,0.003430
31,2.275000,12.525000,250,45,0.000000
32,2.275000,12.475000,249,45,0.000000
33,2.325000,12.475000,249,46,0.001560
34,2.325000,12.525000,250,46,0.007605
35,2.325000,12.575000,251,46,0.000000
36,2.325000,12.625000,252,46,0.002390
37,2.325000,12.575000,251,46,0.001231
38,2.325000,12.625000,252,46,0.014979
39,2.375000,12.625000,252,47,0.014558
40,2.425000,12.625000,252,48,0.000000
41,2.475000,12.625000,252,49,0.000000
42,2.475000,12.575000,251,49,0.000000
43,2.475000,12.625000,252,49,0.001959
44,2.475000,12.575000,251,49,0.000000
45,2.525000,12.575000,251,50,0.000000
46,2.525000,12.525000,250,50,0.000000
47,2.575000,12.525000,250,51,0.000000
48,2.575000,12.475000,249,51,0.000000
49,2.575000,12.425000,248,51,0.003239
