step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,7.275000,2.475000,49,145,0.074190
1,7.325000,2.475000,49,146,0.082556
2,7.325000,2.525000,50,146,0.090655
3,7.325000,2.475000,49,146,0.084095
4,7.375000,2.475000,49,147,0.085666
5,7.425000,2.475000,49,148,0.104777
6,7.425000,2.525000,50,148,0.102184
7,7.475000,2.525000,50,149,0.097292
8,7.525000,2.525000,50,150,0.098175
9,7.525000,2.575000,51,150,0.091370
10,7.525000,2.625000,52,150,0.108496
11,7.525000,2.575000,51,150,0.120846
12,7.525000,2.625000,52,150,0.104062
13,7.475000,2.625000,52,149,0.101863
14,7.425000,2.625000,52,148,0.115435
15,7.475000,2.625000,52,149,0.116134
16,7.525000,2.625000,52,150,0.106732
17,7.575000,2.625000,52,151,0.115466
18,7.625000,2.625000,52,152,0.131690
19,7.675000,2.625000,52,153,0.134251
20,7.725000,2.625000,52,154,0.142896
21,7.775000,2.625000,52,155,0.168045
22,7.825000,2.625000,52,156,0.167438
23,7.875000,2.625000,52,157,0.168278
24,7.925000,2.625000,52,158,0.176157
25,7.975000,2.625000,52,159,0.201869
26,8.025000,2.625000,52,160,0.205822
27,8.025000,2.675000,53,160,0.211779
28,8.075000,2.675000,53,161,0.196490
29,8.125000,2.675000,53,162,0.215326
30,8.175000,2.675000,53,163,0.237431
31,8.225000,2.675000,53,164,0.232051
32,8.275000,2.675000,53,165,0.251093
33,8.275000,2.625000,52,165,0.236801
34,8.275000,2.675000,53,165,0.266846
35,8.225000,2.675000,53,164,0.231903
36,8.275000,2.675000,53,165,0.245124
37,8.325000,2.675000,53,166,0.278390
38,8.375000,2.675000,53,167,0.277298
39,8.375000,2.625000,52,167,0.264624
40,8.425000,2.625000,52,168,0.284212
41,8.475000,2.625000,52,169,0.294847
42,8.525000,2.625000,52,170,0.313750
43,8.575000,2.625000,52,171,0.321088
44,8.625000,2.625000,52,172,0.344772
45,8.675000,2.625000,52,173,0.339341
46,8.725000,2.625000,52,174,0.366613
47,8.675000,2.625000,52,173,0.362262
48,8.675000,2.675000,53,173,0.359553
49,8.725000,2.675000,53,174,0.367053
