step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,9.375000,5.575000,111,187,0.009690
1,9.375000,5.625000,112,187,0.002365
2,9.375000,5.675000,113,187,0.000000
3,9.325000,5.675000,113,186,0.000000
4,9.375000,5.675000,113,187,0.003028
5,9.325000,5.675000,113,186,0.000000
6,9.325000,5.625000,112,186,0.000000
7,9.275000,5.625000,112,185,0.000000
8,9.275000,5.575000,111,185,0.000000
9,9.225000,5.575000,111,184,0.000000
10,9.175000,5.575000,111,183,0.004780
11,9.125000,5.575000,111,182,0.006861
12,9.075000,5.575000,111,181,0.000000
13,9.075000,5.525000,110,181,0.001407
14,9.125000,5.525000,110,182,0.000000
15,9.125000,5.575000,111,182,0.000000
16,9.125000,5.525000,110,182,0.000000
17,9.075000,5.525000,110,181,0.000000
18,9.075000,5.475000,109,181,0.000000
19,9.025000,5.475000,109,180,0.022991
20,9.075000,5.475000,109,181,0.000000
21,9.025000,5.475000,109,180,0.008207
22,9.025000,5.525000,110,180,0.001248
23,9.025000,5.575000,111,180,0.000000
24,9.025000,5.625000,112,180,0.009060
25,9.025000,5.575000,111,180,0.003943
26,8.975000,5.575000,111,179,0.000000
27,8.975000,5.525000,110,179,0.002867
28,8.975000,5.575000,111,179,0.000000
29,8.975000,5.525000,110,179,0.000000
30,8.975000,5.575000,111,179,0.002540
31,8.975000,5.625000,112,179,0.002072
32,8.975000,5.675000,113,179,0.000000
33,8.925000,5.675000,113,178,0.000000
34,8.925000,5.625000,112,178,0.000000
35,8.925000,5.675000,113,178,0.000775
36,8.975000,5.675000,113,179,0.013672
37,8.975000,5.625000,112,179,0.000000
38,8.975000,5.575000,111,179,0.000000
39,8.975000,5.625000,112,179,0.000000
40,9.025000,5.625000,112,180,0.000000
41,9.025000,5.575000,111,180,0.006789
42,9.075000,5.575000,111,181,0.007257
43,9.075000,5.525000,110,181,0.021810
44,9.075000,5.575000,111,181,0.000000
45,9.025000,5.575000,111,180,0.013670
46,9.025000,5.525000,110,180,0.000000
47,9.075000,5.525000,110,181,0.002569
48,9.075000,5.575000,111,181,0.000000
49,9.075000,5.625000,112,181,0.000000
