step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,10.025000,7.925000,158,200,0.004201
1,10.025000,7.875000,157,200,0.011165
2,10.025000,7.825000,156,200,0.012573
3,10.025000,7.775000,155,200,0.000000
4,10.075000,7.775000,155,201,0.000000
5,10.075000,7.725000,154,201,0.000968
6,10.075000,7.675000,153,201,0.012179
7,10.075000,7.725000,154,201,0.000000
8,10.075000,7.675000,153,201,0.000000
9,10.125000,7.675000,153,202,0.002244
10,10.175000,7.675000,153,203,0.000000
11,10.225000,7.675000,153,204,0.007908
12,10.275000,7.675000,153,205,0.000000
13,10.225000,7.675000,153,204,0.001415
14,10.275000,7.675000,153,205,0.000586
15,10.225000,7.675000,153,204,0.000000
16,10.175000,7.675000,153,203,0.000000
17,10.125000,7.675000,153,202,0.001308
18,10.175000,7.675000,153,203,0.000000
19,10.175000,7.625000,152,203,0.000964
20,10.225000,7.625000,152,204,0.000000
21,10.225000,7.675000,153,204,0.000000
22,10.225000,7.725000,154,204,0.001916
23,10.225000,7.675000,153,204,0.000000
24,10.175000,7.675000,153,203,0.000000
25,10.175000,7.625000,152,203,0.000000
26,10.225000,7.625000,152,204,0.000000
27,10.225000,7.575000,151,204,0.000000
28,10.225000,7.525000,150,204,0.021521
29,10.175000,7.525000,150,203,0.006240
30,10.175000,7.575000,151,203,0.021699
31,10.225000,7.575000,151,204,0.011074
32,10.275000,7.575000,151,205,0.000000
33,10.325000,7.575000,151,206,0.000000
34,10.325000,7.525000,150,206,0.000000
35,10.275000,7.525000,150,205,0.003495
36,10.325000,7.525000,150,206,0.000000
37,10.375000,7.525000,150,207,0.000000
38,10.375000,7.575000,151,207,0.000446
39,10.375000,7.525000,150,207,0.006899
40,10.325000,7.525000,150,206,0.009987
41,10.375000,7.525000,150,207,0.000000
42,10.375000,7.575000,151,207,0.019315
43,10.425000,7.575000,151,208,0.002858
44,10.425000,7.525000,150,208,0.000000
45,10.425000,7.575000,151,208,0.008305
46,10.425000,7.625000,152,208,0.008825
47,10.375000,7.625000,152,207,0.000000
48,10.375000,7.675000,153,207,0.000000
49,10.425000,7.675000,153,208,0.002841
