step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,9.575000,6.225000,124,191,0.008984
1,9.525000,6.225000,124,190,0.009975
2,9.475000,6.225000,124,189,0.008309
3,9.425000,6.225000,124,188,0.012396
4,9.425000,6.175000,123,188,0.003661
5,9.475000,6.175000,123,189,0.006495
6,9.475000,6.125000,122,189,0.004797
7,9.425000,6.125000,122,188,0.000000
8,9.475000,6.125000,122,189,0.004125
9,9.525000,6.125000,122,190,0.005695
10,9.575000,6.125000,122,191,0.000000
11,9.525000,6.125000,122,190,0.000000
12,9.575000,6.125000,122,191,0.000000
13,9.575000,6.175000,123,191,0.000000
14,9.525000,6.175000,123,190,0.003504
15,9.525000,6.125000,122,190,0.000000
16,9.575000,6.125000,122,191,0.008261
17,9.575000,6.075000,121,191,0.014983
18,9.575000,6.125000,122,191,0.000000
19,9.575000,6.075000,121,191,0.000000
20,9.525000,6.075000,121,190,0.000000
21,9.525000,6.025000,120,190,0.000000
22,9.575000,6.025000,120,191,0.011685
23,9.525000,6.025000,120,190,0.005015
24,9.525000,6.075000,121,190,0.012743
25,9.525000,6.125000,122,190,0.000000
26,9.475000,6.125000,122,189,0.000000
27,9.425000,6.125000,122,188,0.008742
28,9.425000,6.075000,121,188,0.005302
29,9.425000,6.025000,120,188,0.011043
30,9.425000,5.975000,119,188,0.000000
31,9.425000,5.925000,118,188,0.000000
32,9.425000,5.975000,119,188,0.000000
33,9.425000,6.025000,120,188,0.007656
34,9.425000,5.975000,119,188,0.006408
35,9.425000,6.025000,120,188,0.002886
36,9.475000,6.025000,120,189,0.013308
37,9.475000,6.075000,121,189,0.000000
38,9.425000,6.075000,121,188,0.024646
39,9.475000,6.075000,121,189,0.000000
40,9.475000,6.125000,122,189,0.000000
41,9.475000,6.075000,121,189,0.000000
42,9.425000,6.075000,121,188,0.000000
43,9.425000,6.025000,120,188,0.000000
44,9.425000,5.975000,119,188,0.000000
45,9.425000,5.925000,118,188,0.000000
46,9.475000,5.925000,118,189,0.000000
47,9.475000,5.975000,119,189,0.005066
48,9.475000,5.925000,118,189,0.000000
49,9.475000,5.975000,119,189,0.000000
