step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,8.875000,0.275000,5,177,0.000000
1,8.825000,0.275000,5,176,0.007819
2,8.875000,0.275000,5,177,0.003920
3,8.875000,0.225000,4,177,0.014980
4,8.875000,0.175000,3,177,0.007264
5,8.875000,0.225000,4,177,0.000000
6,8.925000,0.225000,4,178,0.001684
7,8.925000,0.275000,5,178,0.000000
8,8.975000,0.275000,5,179,0.000000
9,8.975000,0.325000,6,179,0.000000
10,8.925000,0.325000,6,178,0.006646
11,8.975000,0.325000,6,179,0.009691
12,8.925000,0.325000,6,178,0.009999
13,8.925000,0.375000,7,178,0.000000
14,8.925000,0.325000,6,178,0.011011
15,8.925000,0.375000,7,178,0.007125
16,8.925000,0.325000,6,178,0.000000
17,8.925000,0.375000,7,178,0.002638
18,8.925000,0.325000,6,178,0.004209
19,8.875000,0.325000,6,177,0.000000
20,8.925000,0.325000,6,178,0.001618
21,8.925000,0.275000,5,178,0.001855
22,8.925000,0.325000,6,178,0.010814
23,8.925000,0.275000,5,178,0.000000
24,8.875000,0.275000,5,177,0.019350
25,8.925000,0.275000,5,178,0.000000
26,8.925000,0.325000,6,178,0.006109
27,8.925000,0.275000,5,178,0.000000
28,8.975000,0.275000,5,179,0.000000
29,8.925000,0.275000,5,178,0.000000
30,8.875000,0.275000,5,177,0.017237
31,8.925000,0.275000,5,178,0.000000
32,8.975000,0.275000,5,179,0.008356
33,8.925000,0.275000,5,178,0.000000
34,8.925000,0.325000,6,178,0.012334
35,8.875000,0.325000,6,177,0.000000
36,8.875000,0.275000,5,177,0.000000
37,8.825000,0.275000,5,176,0.002168
38,8.775000,0.275000,5,175,0.006566
39,8.725000,0.275000,5,174,0.000000
40,8.675000,0.275000,5,173,0.005535
41,8.675000,0.225000,4,173,0.000440
42,8.625000,0.225000,4,172,0.000000
43,8.575000,0.225000,4,171,0.000000
44,8.625000,0.225000,4,172,0.006530
45,8.625000,0.275000,5,172,0.000000
46,8.625000,0.325000,6,172,0.000000
47,8.575000,0.325000,6,171,0.000000
48,8.525000,0.325000,6,170,0.006146
49,8.525000,0.375000,7,170,0.007688
