step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,11.075000,1.375000,27,221,0.028355
1,11.075000,1.325000,26,221,0.034162
2,11.025000,1.325000,26,220,0.028796
3,10.975000,1.325000,26,219,0.043749
4,10.975000,1.275000,25,219,0.033610
5,10.975000,1.225000,24,219,0.049488
6,10.975000,1.275000,25,219,0.035358
7,10.925000,1.275000,25,218,0.043376
8,10.875000,1.275000,25,217,0.028648
9,10.875000,1.225000,24,217,0.018459
10,10.825000,1.225000,24,216,0.045291
11,10.775000,1.225000,24,215,0.039784
12,10.725000,1.225000,24,214,0.053292
13,10.725000,1.175000,23,214,0.054110
14,10.675000,1.175000,23,213,0.047321
15,10.625000,1.175000,23,212,0.056507
16,10.675000,1.175000,23,213,0.049913
17,10.725000,1.175000,23,214,0.057129
18,10.775000,1.175000,23,215,0.068838
19,10.825000,1.175000,23,216,0.046660
20,10.825000,1.125000,22,216,0.043776
21,10.825000,1.075000,21,216,0.047986
22,10.825000,1.125000,22,216,0.056173
23,10.775000,1.125000,22,215,0.046819
24,10.825000,1.125000,22,216,0.052912
25,10.775000,1.125000,22,215,0.025799
26,10.775000,1.175000,23,215,0.052950
27,10.725000,1.175000,23,214,0.042535
28,10.725000,1.125000,22,214,0.062494
29,10.775000,1.125000,22,215,0.042524
30,10.725000,1.125000,22,214,0.049663
31,10.725000,1.175000,23,214,0.035189
32,10.775000,1.175000,23,215,0.051106
33,10.725000,1.175000,23,214,0.040722
34,10.675000,1.175000,23,213,0.048226
35,10.625000,1.175000,23,212,0.060268
36,10.575000,1.175000,23,211,0.081385
37,10.525000,1.175000,23,210,0.065133
38,10.475000,1.175000,23,209,0.083703
39,10.525000,1.175000,23,210,0.058496
40,10.575000,1.175000,23,211,0.071207
41,10.575000,1.225000,24,211,0.060494
42,10.525000,1.225000,24,210,0.067994
43,10.525000,1.275000,25,210,0.074228
44,10.575000,1.275000,25,211,0.061206
45,10.575000,1.325000,26,211,0.070203
46,10.575000,1.375000,27,211,0.063316
47,10.525000,1.375000,27,210,0.070103
48,10.475000,1.375000,27,209,0.077619
49,10.425000,1.375000,27,208,0.103952
