step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,4.875000,9.525000,190,97,0.113850
1,4.825000,9.525000,190,96,0.147550
2,4.775000,9.525000,190,95,0.129969
3,4.775000,9.475000,189,95,0.145802
4,4.725000,9.475000,189,94,0.140710
5,4.675000,9.475000,189,93,0.154792
6,4.625000,9.475000,189,92,0.159459
7,4.575000,9.475000,189,91,0.162558
8,4.575000,9.525000,190,91,0.164543
9,4.525000,9.525000,190,90,0.199703
10,4.475000,9.525000,190,89,0.196947
11,4.525000,9.525000,190,90,0.190667
12,4.475000,9.525000,190,89,0.188457
13,4.475000,9.475000,189,89,0.172467
14,4.525000,9.475000,189,90,0.176634
15,4.525000,9.425000,188,90,0.151117
16,4.575000,9.425000,188,91,0.150173
17,4.525000,9.425000,188,90,0.163527
18,4.475000,9.425000,188,89,0.173833
19,4.425000,9.425000,188,88,0.186479
20,4.375000,9.425000,188,87,0.197850
21,4.375000,9.475000,189,87,0.218076
22,4.375000,9.425000,188,87,0.193988
23,4.375000,9.475000,189,87,0.198714
24,4.375000,9.525000,190,87,0.226355
25,4.325000,9.525000,190,86,0.213040
26,4.275000,9.525000,190,85,0.237571
27,4.225000,9.525000,190,84,0.220297
28,4.175000,9.525000,190,83,0.240057
29,4.225000,9.525000,190,84,0.219343
30,4.175000,9.525000,190,83,0.239887
31,4.175000,9.475000,189,83,0.251811
32,4.125000,9.475000,189,82,0.238733
33,4.125000,9.425000,188,82,0.251058
34,4.125000,9.475000,189,82,0.265465
35,4.125000,9.425000,188,82,0.239942
36,4.075000,9.425000,188,81,0.256923
37,4.075000,9.475000,189,81,0.248704
38,4.075000,9.525000,190,81,0.248670
39,4.025000,9.525000,190,80,0.279398
40,4.025000,9.475000,189,80,0.269489
41,4.075000,9.475000,189,81,0.261505
42,4.075000,9.525000,190,81,0.269129
43,4.025000,9.525000,190,80,0.271354
44,4.075000,9.525000,190,81,0.282303
45,4.075000,9.475000,189,81,0.251612
46,4.075000,9.425000,188,81,0.260034
47,4.075000,9.475000,189,81,0.252309
48,4.075000,9.525000,190,81,0.262432
49,4.025000,9.525000,190,80,0.284994
