step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,12.275000,1.575000,31,245,0.003487
1,12.225000,1.575000,31,244,0.000000
2,12.275000,1.575000,31,245,0.000951
3,12.275000,1.625000,32,245,0.001014
4,12.225000,1.625000,32,244,0.009436
5,12.225000,1.575000,31,244,0.001518
6,12.175000,1.575000,31,243,0.000000
7,12.175000,1.625000,32,243,0.010544
8,12.225000,1.625000,32,244,0.001735
9,12.275000,1.625000,32,245,0.018686
10,12.275000,1.675000,33,245,0.000000
11,12.275000,1.725000,34,245,0.004229
12,12.275000,1.675000,33,245,0.003093
13,12.275000,1.725000,34,245,0.000000
14,12.275000,1.675000,33,245,0.002644
15,12.225000,1.675000,33,244,0.014656
16,12.225000,1.625000,32,244,0.000000
17,12.275000,1.625000,32,245,0.010007
18,12.275000,1.675000,33,245,0.000000
19,12.325000,1.675000,33,246,0.002374
20,12.275000,1.675000,33,245,0.000000
21,12.325000,1.675000,33,246,0.000000
22,12.325000,1.625000,32,246,0.000000
23,12.325000,1.575000,31,246,0.008642
24,12.325000,1.625000,32,246,0.006251
25,12.325000,1.675000,33,246,0.001689
26,12.375000,1.675000,33,247,0.000000
27,12.425000,1.675000,33,248,0.001409
28,12.425000,1.625000,32,248,0.000000
29,12.425000,1.675000,33,248,0.000823
30,12.475000,1.675000,33,249,0.000000
31,12.525000,1.675000,33,250,0.001656
32,12.525000,1.625000,32,250,0.006020
33,12.575000,1.625000,32,251,0.000686
34,12.575000,1.575000,31,251,0.000000
35,12.575000,1.625000,32,251,0.004890
36,12.625000,1.625000,32,252,0.000000
37,12.575000,1.625000,32,251,0.000074
38,12.525000,1.625000,32,250,0.000000
39,12.475000,1.625000,32,249,0.019666
40,12.475000,1.575000,31,249,0.000000
41,12.525000,1.575000,31,250,0.002708
42,12.575000,1.575000,31,251,0.002443
43,12.575000,1.625000,32,251,0.000000
44,12.525000,1.625000,32,250,0.000000
45,12.575000,1.625000,32,251,0.015841
46,12.525000,1.625000,32,250,0.001980
47,12.525000,1.575000,31,250,0.000000
48,12.525000,1.625000,32,250,0.004972
49,12.525000,1.575000,31,250,0.009306
