step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,8.675000,12.475000,249,173,0.015960
1,8.675000,12.425000,248,173,0.012458
2,8.675000,12.375000,247,173,0.027895
3,8.675000,12.325000,246,173,0.030873
4,8.675000,12.275000,245,173,0.053429
5,8.725000,12.275000,245,174,0.065873
6,8.675000,12.275000,245,173,0.033105
7,8.675000,12.225000,244,173,0.048641
8,8.675000,12.175000,243,173,0.048888
9,8.675000,12.125000,242,173,0.060620
10,8.675000,12.075000,241,173,0.057029
11,8.725000,12.075000,241,174,0.053418
12,8.775000,12.075000,241,175,0.067948
13,8.775000,12.125000,242,175,0.066076
14,8.775000,12.175000,243,175,0.057414
15,8.775000,12.125000,242,175,0.059596
16,8.825000,12.125000,242,176,0.052211
17,8.825000,12.075000,241,176,0.070641
18,8.825000,12.025000,240,176,0.075875
19,8.875000,12.025000,240,177,0.068215
20,8.875000,11.975000,239,177,0.072819
21,8.925000,11.975000,239,178,0.071160
22,8.925000,12.025000,240,178,0.061830
23,8.975000,12.025000,240,179,0.091600
24,9.025000,12.025000,240,180,0.092586
25,8.975000,12.025000,240,179,0.077691
26,9.025000,12.025000,240,180,0.106044
27,9.025000,12.075000,241,180,0.091817
28,9.025000,12.025000,240,180,0.085830
29,8.975000,12.025000,240,179,0.063040
30,9.025000,12.025000,240,180,0.097660
31,9.025000,11.975000,239,180,0.107186
32,9.075000,11.975000,239,181,0.101275
33,9.025000,11.975000,239,180,0.107745
34,9.025000,11.925000,238,180,0.099677
35,9.075000,11.925000,238,181,0.117253
36,9.125000,11.925000,238,182,0.125693
37,9.075000,11.925000,238,181,0.106476
38,9.125000,11.925000,238,182,0.087489
39,9.175000,11.925000,238,183,0.118911
40,9.125000,11.925000,238,182,0.091205
41,9.175000,11.925000,238,183,0.127506
42,9.225000,11.925000,238,184,0.132869
43,9.275000,11.925000,238,185,0.135437
44,9.225000,11.925000,238,184,0.139090
45,9.275000,11.925000,238,185,0.150178
46,9.275000,11.975000,239,185,0.112679
47,9.275000,11.925000,238,185,0.140259
48,9.325000,11.925000,238,186,0.141884
49,9.375000,11.925000,238,187,0.145661
