step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,10.025000,4.975000,99,200,0.000000
1,10.075000,4.975000,99,201,0.019203
2,10.075000,4.925000,98,201,0.000000
3,10.125000,4.925000,98,202,0.004964
4,10.125000,4.875000,97,202,0.009161
5,10.125000,4.825000,96,202,0.005236
6,10.125000,4.775000,95,202,0.015675
7,10.125000,4.825000,96,202,0.015956
8,10.075000,4.825000,96,201,0.000000
9,10.025000,4.825000,96,200,0.006171
10,10.075000,4.825000,96,201,0.021706
11,10.025000,4.825000,96,200,0.000000
12,10.075000,4.825000,96,201,0.000000
13,10.075000,4.775000,95,201,0.000000
14,10.025000,4.775000,95,200,0.000000
15,10.025000,4.825000,96,200,0.000000
16,10.025000,4.875000,97,200,0.004859
17,9.975000,4.875000,97,199,0.000000
18,10.025000,4.875000,97,200,0.006420
19,9.975000,4.875000,97,199,0.001279
20,9.925000,4.875000,97,198,0.000000
21,9.925000,4.925000,98,198,0.005575
22,9.875000,4.925000,98,197,0.000000
23,9.825000,4.925000,98,196,0.016900
24,9.775000,4.925000,98,195,0.007695
25,9.775000,4.975000,99,195,0.003001
26,9.775000,4.925000,98,195,0.000000
27,9.725000,4.925000,98,194,0.000000
28,9.725000,4.875000,97,194,0.000000
29,9.675000,4.875000,97,193,0.002974
30,9.725000,4.875000,97,194,0.003100
31,9.725000,4.925000,98,194,0.000000
32,9.675000,4.925000,98,193,0.000000
33,9.675000,4.875000,97,193,0.007100
34,9.725000,4.875000,97,194,0.011631
35,9.725000,4.925000,98,194,0.014618
36,9.725000,4.875000,97,194,0.009387
37,9.775000,4.875000,97,195,0.000000
38,9.825000,4.875000,97,196,0.007193
39,9.825000,4.825000,96,196,0.000000
40,9.875000,4.825000,96,197,0.000000
41,9.875000,4.775000,95,197,0.000000
42,9.875000,4.725000,94,197,0.000000
43,9.875000,4.675000,93,197,0.000000
44,9.825000,4.675000,93,196,0.000000
45,9.875000,4.675000,93,197,0.008958
46,9.825000,4.675000,93,196,0.000000
47,9.775000,4.675000,93,195,0.000000
48,9.825000,4.675000,93,196,0.005378
49,9.875000,4.675000,93,197,0.000703
