step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,12.575000,12.025000,240,251,0.001820
1,12.575000,12.075000,241,251,0.003592
2,12.625000,12.075000,241,252,0.004081
3,12.675000,12.075000,241,253,0.004524
4,12.725000,12.075000,241,254,0.000000
5,12.725000,12.125000,242,254,0.000000
6,12.775000,12.125000,242,255,0.004630
7,12.775000,12.175000,243,255,0.002796
8,12.775000,12.125000,242,255,0.026115
9,12.725000,12.125000,242,254,0.003667
10,12.725000,12.175000,243,254,0.000000
11,12.725000,12.225000,244,254,0.011994
12,12.725000,12.175000,243,254,0.001040
13,12.725000,12.125000,242,254,0.000152
14,12.675000,12.125000,242,253,0.005850
15,12.675000,12.175000,243,253,0.003495
16,12.725000,12.175000,243,254,0.000000
17,12.725000,12.225000,244,254,0.007999
18,12.675000,12.225000,244,253,0.012450
19,12.675000,12.275000,245,253,0.008975
20,12.625000,12.275000,245,252,0.000000
21,12.625000,12.225000,244,252,0.013590
22,12.575000,12.225000,244,251,0.000000
23,12.575000,12.275000,245,251,0.001541
24,12.575000,12.225000,244,251,0.000000
25,12.575000,12.275000,245,251,0.000000
26,12.575000,12.225000,244,251,0.000000
27,12.525000,12.225000,244,250,0.010170
28,12.575000,12.225000,244,251,0.000000
29,12.625000,12.225000,244,252,0.001976
30,12.625000,12.175000,243,252,0.000000
31,12.625000,12.125000,242,252,0.000000
32,12.625000,12.175000,243,252,0.000000
33,12.675000,12.175000,243,253,0.011249
34,12.625000,12.175000,243,252,0.018787
35,12.575000,12.175000,243,251,0.000000
36,12.625000,12.175000,243,252,0.000000
37,12.625000,12.225000,244,252,0.007197
38,12.625000,12.175000,243,252,0.000781
39,12.625000,12.225000,244,252,0.000000
40,12.625000,12.275000,245,252,0.012409
41,12.575000,12.275000,245,251,0.002430
42,12.525000,12.275000,245,250,0.016563
43,12.575000,12.275000,245,251,0.004812
44,12.575000,12.225000,244,251,0.000000
45,12.575000,12.275000,245,251,0.000000
46,12.575000,12.225000,244,251,0.020926
47,12.625000,12.225000,244,252,0.000000
48,12.625000,12.175000,243,252,0.004300
49,12.625000,12.225000,244,252,0.020567
