step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,12.275000,12.375000,247,245,0.011588
1,12.275000,12.325000,246,245,0.000000
2,12.275000,12.375000,247,245,0.000000
3,12.275000,12.425000,248,245,0.001286
4,12.225000,12.425000,248,244,0.008943
5,12.225000,12.475000,249,244,0.000000
6,12.225000,12.425000,248,244,0.000000
7,12.225000,12.375000,247,244,0.000000
8,12.225000,12.425000,248,244,0.009545
9,12.175000,12.425000,248,243,0.000000
10,12.175000,12.475000,249,243,0.000000
11,12.175000,12.425000,248,243,0.000000
12,12.225000,12.425000,248,244,0.000000
13,12.225000,12.375000,247,244,0.016324
14,12.225000,12.425000,248,244,0.000000
15,12.225000,12.375000,247,244,0.003947
16,12.275000,12.375000,247,245,0.000000
17,12.275000,12.325000,246,245,0.000000
18,12.225000,12.325000,246,244,0.000000
19,12.175000,12.325000,246,243,0.017844
20,12.125000,12.325000,246,242,0.002995
21,12.125000,12.375000,247,242,0.002509
22,12.125000,12.425000,248,242,0.016624
23,12.075000,12.425000,248,241,0.004572
24,12.025000,12.425000,248,240,0.000000
25,11.975000,12.425000,248,239,0.009655
26,11.975000,12.375000,247,239,0.000000
27,11.975000,12.325000,246,239,0.000000
28,11.975000,12.275000,245,239,0.010146
29,12.025000,12.275000,245,240,0.009269
30,12.025000,12.225000,244,240,0.006417
31,12.025000,12.175000,243,240,0.011572
32,12.025000,12.225000,244,240,0.000000
33,11.975000,12.225000,244,239,0.006341
34,12.025000,12.225000,244,240,0.005763
35,11.975000,12.225000,244,239,0.000000
36,11.925000,12.225000,244,238,0.000000
37,11.875000,12.225000,244,237,0.000199
38,11.925000,12.225000,244,238,0.005433
39,11.925000,12.275000,245,238,0.000000
40,11.925000,12.225000,244,238,0.000478
41,11.975000,12.225000,244,239,0.000000
42,11.975000,12.275000,245,239,0.000760
43,11.975000,12.325000,246,239,0.002290
44,11.975000,12.275000,245,239,0.000000
45,11.975000,12.325000,246,239,0.011982
46,11.925000,12.325000,246,238,0.006563
47,11.925000,12.275000,245,238,0.007234
48,11.975000,12.275000,245,239,0.009898
49,11.975000,12.225000,244,239,0.008735
