step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,12.175000,6.375000,127,243,0.000000
1,12.225000,6.375000,127,244,0.000000
2,12.175000,6.375000,127,243,0.001896
3,12.125000,6.375000,127,242,0.001962
4,12.075000,6.375000,127,241,0.001984
5,12.125000,6.375000,127,242,0.000000
6,12.175000,6.375000,127,243,0.000000
7,12.175000,6.325000,126,243,0.000000
8,12.175000,6.275000,125,243,0.006492
9,12.125000,6.275000,125,242,0.007414
10,12.075000,6.275000,125,241,0.000000
11,12.125000,6.275000,125,242,0.000000
12,12.125000,6.225000,124,242,0.006045
13,12.075000,6.225000,124,241,0.000000
14,12.075000,6.175000,123,241,0.004601
15,12.125000,6.175000,123,242,0.000000
16,12.075000,6.175000,123,241,0.000000
17,12.025000,6.175000,123,240,0.000000
18,12.025000,6.225000,124,240,0.000000
19,12.025000,6.175000,123,240,0.000000
20,12.025000,6.125000,122,240,0.011463
21,12.025000,6.175000,123,240,0.000000
22,12.025000,6.125000,122,240,0.000000
23,11.975000,6.125000,122,239,0.028943
24,11.925000,6.125000,122,238,0.000000
25,11.925000,6.075000,121,238,0.000000
26,11.925000,6.125000,122,238,0.009867
27,11.925000,6.075000,121,238,0.002391
28,11.975000,6.075000,121,239,0.000000
29,11.925000,6.075000,121,238,0.005762
30,11.925000,6.125000,122,238,0.016593
31,11.925000,6.075000,121,238,0.000000
32,11.925000,6.025000,120,238,0.002017
33,11.925000,5.975000,119,238,0.000000
34,11.875000,5.975000,119,237,0.000000
35,11.875000,6.025000,120,237,0.001124
36,11.825000,6.025000,120,236,0.000000
37,11.825000,5.975000,119,236,0.005328
38,11.825000,6.025000,120,236,0.000000
39,11.875000,6.025000,120,237,0.005859
40,11.875000,5.975000,119,237,0.000000
41,11.825000,5.975000,119,236,0.000000
42,11.875000,5.975000,119,237,0.000000
43,11.875000,5.925000,118,237,0.000000
44,11.875000,5.875000,117,237,0.004083
45,11.925000,5.875000,117,238,0.000000
46,11.875000,5.875000,117,237,0.015359
47,11.875000,5.925000,118,237,0.000000
48,11.825000,5.925000,118,236,0.000000
49,11.825000,5.975000,119,236,0.000000
