step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,1.475000,8.275000,165,29,0.003398
1,1.475000,8.325000,166,29,0.000000
2,1.475000,8.375000,167,29,0.000000
3,1.475000,8.325000,166,29,0.000000
4,1.425000,8.325000,166,28,0.005147
5,1.375000,8.325000,166,27,0.001087
6,1.375000,8.275000,165,27,0.000000
7,1.375000,8.325000,166,27,0.009600
8,1.425000,8.325000,166,28,0.012465
9,1.375000,8.325000,166,27,0.003440
10,1.375000,8.375000,167,27,0.001257
11,1.325000,8.375000,167,26,0.000000
12,1.275000,8.375000,167,25,0.008566
13,1.275000,8.325000,166,25,0.002016
14,1.275000,8.375000,167,25,0.000000
15,1.275000,8.425000,168,25,0.000000
16,1.275000,8.375000,167,25,0.000000
17,1.225000,8.375000,167,24,0.000000
18,1.225000,8.325000,166,24,0.000000
19,1.225000,8.375000,167,24,0.003617
20,1.175000,8.375000,167,23,0.000746
21,1.125000,8.375000,167,22,0.004335
22,1.175000,8.375000,167,23,0.014787
23,1.175000,8.325000,166,23,0.007552
24,1.125000,8.325000,166,22,0.006060
25,1.125000,8.375000,167,22,0.009959
26,1.125000,8.325000,166,22,0.018911
27,1.125000,8.275000,165,22,0.000000
28,1.125000,8.225000,164,22,0.018549
29,1.125000,8.275000,165,22,0.012221
30,1.125000,8.225000,164,22,0.011737
31,1.125000,8.175000,163,22,0.002798
32,1.125000,8.225000,164,22,0.000000
33,1.075000,8.225000,164,21,0.005731
34,1.075000,8.175000,163,21,0.001355
35,1.075000,8.225000,164,21,0.005624
36,1.075000,8.275000,165,21,0.000000
37,1.125000,8.275000,165,22,0.013809
38,1.175000,8.275000,165,23,0.003173
39,1.175000,8.225000,164,23,0.016629
40,1.175000,8.275000,165,23,0.013542
41,1.175000,8.325000,166,23,0.010073
42,1.175000,8.275000,165,23,0.009824
43,1.175000,8.225000,164,23,0.000000
44,1.125000,8.225000,164,22,0.005993
45,1.125000,8.175000,163,22,0.004855
46,1.125000,8.225000,164,22,0.000000
47,1.125000,8.175000,163,22,0.004160
48,1.175000,8.175000,163,23,0.005394
49,1.175000,8.125000,162,23,0.000000
