step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,9.625000,11.025000,220,192,0.000000
1,9.575000,11.025000,220,191,0.008842
2,9.625000,11.025000,220,192,0.014627
3,9.625000,11.075000,221,192,0.015602
4,9.625000,11.025000,220,192,0.000000
5,9.625000,11.075000,221,192,0.010840
6,9.575000,11.075000,221,191,0.008987
7,9.575000,11.125000,222,191,0.003795
8,9.575000,11.175000,223,191,0.009152
9,9.625000,11.175000,223,192,0.000000
10,9.625000,11.125000,222,192,0.000000
11,9.625000,11.175000,223,192,0.000000
12,9.625000,11.125000,222,192,0.000000
13,9.675000,11.125000,222,193,0.000000
14,9.725000,11.125000,222,194,0.000000
15,9.725000,11.175000,223,194,0.002692
16,9.775000,11.175000,223,195,0.016419
17,9.825000,11.175000,223,196,0.000000
18,9.825000,11.125000,222,196,0.000885
19,9.775000,11.125000,222,195,0.000000
20,9.775000,11.175000,223,195,0.000000
21,9.825000,11.175000,223,196,0.000000
22,9.825000,11.225000,224,196,0.009572
23,9.875000,11.225000,224,197,0.000000
24,9.875000,11.275000,225,197,0.000000
25,9.825000,11.275000,225,196,0.000000
26,9.825000,11.325000,226,196,0.000000
27,9.825000,11.275000,225,196,0.006214
28,9.825000,11.225000,224,196,0.022542
29,9.825000,11.275000,225,196,0.002901
30,9.875000,11.275000,225,197,0.001277
31,9.875000,11.325000,226,197,0.000000
32,9.875000,11.275000,225,197,0.012549
33,9.825000,11.275000,225,196,0.013080
34,9.825000,11.225000,224,196,0.000000
35,9.875000,11.225000,224,197,0.018324
36,9.875000,11.275000,225,197,0.017275
37,9.875000,11.225000,224,197,0.000000
38,9.925000,11.225000,224,198,0.000000
39,9.925000,11.175000,223,198,0.008018
40,9.925000,11.125000,222,198,0.003030
41,9.925000,11.075000,221,198,0.000000
42,9.975000,11.075000,221,199,0.014259
43,9.975000,11.125000,222,199,0.000000
44,9.975000,11.075000,221,199,0.001082
45,9.975000,11.125000,222,199,0.008111
46,9.975000,11.075000,221,199,0.001472
47,9.975000,11.125000,222,199,0.001822
48,9.975000,11.175000,223,199,0.000000
49,9.975000,11.125000,222,199,0.000000
