step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,2.025000,1.725000,34,40,0.000000
1,2.025000,1.775000,35,40,0.015775
2,2.025000,1.825000,36,40,0.005361
3,2.025000,1.875000,37,40,0.000000
4,2.025000,1.925000,38,40,0.002011
5,2.025000,1.975000,39,40,0.000000
6,2.025000,2.025000,40,40,0.000000
7,2.025000,2.075000,41,40,0.000000
8,2.025000,2.125000,42,40,0.000000
9,2.025000,2.175000,43,40,0.000000
10,2.025000,2.225000,44,40,0.002219
11,2.025000,2.275000,45,40,0.000000
12,2.025000,2.225000,44,40,0.006332
13,2.025000,2.175000,43,40,0.001087
14,2.025000,2.225000,44,40,0.012892
15,2.025000,2.275000,45,40,0.008311
16,2.025000,2.325000,46,40,0.000000
17,2.025000,2.375000,47,40,0.001739
18,1.975000,2.375000,47,39,0.000000
19,1.975000,2.425000,48,39,0.000350
20,1.975000,2.475000,49,39,0.019673
21,1.975000,2.525000,50,39,0.004931
22,1.975000,2.575000,51,39,0.000000
23,1.975000,2.525000,50,39,0.000000
24,1.975000,2.575000,51,39,0.000000
25,1.925000,2.575000,51,38,0.000000
26,1.925000,2.625000,52,38,0.000000
27,1.925000,2.675000,53,38,0.000000
28,1.925000,2.725000,54,38,0.011222
29,1.875000,2.725000,54,37,0.000000
30,1.875000,2.775000,55,37,0.005910
31,1.925000,2.775000,55,38,0.014277
32,1.925000,2.825000,56,38,0.000322
33,1.925000,2.875000,57,38,0.000000
34,1.875000,2.875000,57,37,0.000000
35,1.875000,2.925000,58,37,0.000000
36,1.875000,2.975000,59,37,0.009941
37,1.875000,3.025000,60,37,0.000000
38,1.875000,2.975000,59,37,0.016712
39,1.875000,3.025000,60,37,0.000000
40,1.875000,3.075000,61,37,0.002248
41,1.875000,3.025000,60,37,0.000000
42,1.875000,3.075000,61,37,0.009145
43,1.875000,3.125000,62,37,0.006505
44,1.875000,3.175000,63,37,0.000000
45,1.875000,3.225000,64,37,0.000000
46,1.925000,3.225000,64,38,0.000000
47,1.975000,3.225000,64,39,0.000000
48,1.975000,3.275000,65,39,0.011002
49,1.975000,3.325000,66,39,0.025072
